Transaction_ID,Date,Product_Category,Unit_Price,Quantity,Shipping_Cost,Shipping_Method,Customer_Rating
TRX-10040,2023-01-12,Tablet,1425.7,6,32.07,Express,4.0
TRX-10041,2023-05-29,Laptop,1884.77,12,39.01,Express,1.0
TRX-10042,2023-06-09,Smartphone,1512.09,17,22.99,Overnight,4.0
TRX-10043,2023-03-28,Tablet,816.0,13,29.55,Express,1.0
TRX-10044,2023-11-07,Tablet,1414.19,3,7.01,International,1.0
TRX-10045,2023-05-05,Monitor,78.07,36,12.34,Overnight,4.0
TRX-10046,2023-05-22,Smartphone,381.57,31,17.72,Express,5.0
TRX-10047,2023-02-22,Tablet,1867.16,9,26.76,Standard Ground,2.0
TRX-10048,2023-06-21,Tablet,182.27,35,45.32,Express,
TRX-10049,2023-10-29,Tablet,85.42,3,21.16,,5.0
TRX-10050,2023-06-11,Tablet,1398.63,12,33.8,International,2.0
TRX-10051,2023-07-28,Tablet,543.49,34,6.47,Express,1.0
TRX-10052,2023-04-21,Smartphone,286.22,47,36.88,Overnight,4.0
TRX-10053,2023-10-17,Headphones,855.34,47,44.36,,1.0
TRX-10054,2023-02-10,Laptop,1700.32,48,44.88,International,4.0
TRX-10055,2023-12-05,Laptop,1922.57,25,17.4,Standard Ground,3.0
TRX-10056,2023-01-08,Headphones,1372.58,25,43.67,International,4.0
TRX-10057,2023-09-15,Smartphone,150.34,50,15.26,International,2.0
TRX-10058,2023-01-04,Smartwatch,1672.14,34,36.37,Express,2.0
TRX-10059,2023-06-23,Smartwatch,1836.36,8,39.57,Standard Ground,2.0
TRX-10060,2023-01-13,Smartwatch,1956.26,29,46.1,Express,1.0
TRX-10061,2023-05-27,Monitor,352.39,27,37.2,,3.0
TRX-10062,2023-08-17,Monitor,1403.16,29,11.54,Express,
TRX-10063,2023-11-03,Headphones,1922.25,22,15.35,Express,1.0
TRX-10064,2023-09-05,Headphones,1505.75,33,48.42,International,1.0
TRX-10065,2023-06-07,Tablet,1996.96,6,18.9,Express,4.0
TRX-10066,2023-05-22,Laptop,712.46,35,42.03,International,1.0
TRX-10067,2023-07-13,Tablet,830.79,47,13.91,Overnight,1.0
TRX-10068,2023-01-26,Smartphone,1247.36,43,31.55,Express,2.0
TRX-10069,2023-11-07,Monitor,1326.3,12,26.26,International,3.0
TRX-10070,2023-05-19,Headphones,754.91,9,32.5,Standard Ground,2.0
TRX-10071,2023-11-12,Tablet,437.93,35,43.23,Standard Ground,2.0
TRX-10072,2023-07-04,Smartwatch,489.26,3,43.34,Standard Ground,2.0
TRX-10073,2023-06-14,Smartphone,1242.76,42,11.11,Overnight,1.0
TRX-10074,2023-09-16,Smartwatch,666.29,44,11.42,Standard Ground,5.0
TRX-10075,2023-10-29,Headphones,569.44,26,47.48,Express,1.0
TRX-10076,2023-05-27,Smartwatch,1198.4,13,38.15,Express,
TRX-10077,2023-09-28,Tablet,1002.63,7,47.01,Express,
TRX-10078,2023-07-25,Headphones,1161.65,18,46.07,Overnight,
TRX-10079,2023-02-26,Headphones,1800.76,12,19.7,International,4.0
TRX-10080,2023-06-22,Monitor,1107.19,31,25.21,International,5.0
TRX-10081,2023-05-02,Tablet,1774.34,37,43.98,Express,2.0
TRX-10082,2023-09-06,Monitor,634.92,25,5.83,Express,1.0
TRX-10083,2023-09-05,Laptop,1989.26,23,31.0,Express,
TRX-10084,2023-03-26,Laptop,1425.73,3,30.37,International,1.0
TRX-10085,2023-12-31,Tablet,158.98,34,41.02,Standard Ground,
TRX-10086,2023-07-26,Tablet,1296.56,45,35.57,Standard Ground,1.0
TRX-10087,2023-03-18,Tablet,736.17,42,32.63,International,1.0
TRX-10088,2023-10-26,Headphones,1022.77,50,44.35,Overnight,2.0
TRX-10089,2023-10-06,Tablet,941.13,34,46.05,Overnight,5.0
TRX-10090,2023-04-28,Smartwatch,172.99,44,23.67,International,1.0
TRX-10091,2023-05-01,Headphones,887.56,49,37.26,International,4.0
TRX-10092,2023-12-15,Monitor,1176.09,38,24.48,Standard Ground,
TRX-10093,2023-08-05,Laptop,1114.61,21,25.78,International,
TRX-10094,2023-06-27,Headphones,108.7,41,17.3,Standard Ground,3.0
TRX-10095,2023-04-09,Tablet,1995.26,29,34.91,Overnight,3.0
TRX-10096,2023-06-20,Monitor,682.34,28,17.25,International,1.0
TRX-10097,2023-07-19,Smartwatch,1407.24,2,16.77,Standard Ground,5.0
TRX-10098,2023-01-14,Headphones,206.0,39,29.84,Overnight,5.0
TRX-10099,2023-02-22,Smartphone,876.56,32,30.71,Overnight,1.0
TRX-10100,2023-04-11,Laptop,1674.62,38,39.82,,2.0
TRX-10101,2023-08-17,Tablet,1895.85,19,23.81,International,
TRX-10102,2023-07-05,Smartphone,1854.79,17,38.88,Overnight,3.0
TRX-10103,2023-12-05,Tablet,1547.17,23,25.55,Express,4.0
TRX-10104,2023-10-01,Laptop,870.33,26,31.29,Standard Ground,5.0
TRX-10105,2023-12-08,Smartwatch,1989.82,28,31.29,International,2.0
TRX-10106,2023-07-18,Smartwatch,1794.99,28,24.1,,3.0
TRX-10107,2023-02-13,Smartphone,691.41,4,34.26,Overnight,1.0
TRX-10108,2023-06-08,Tablet,610.24,48,38.07,Overnight,4.0
TRX-10109,2023-01-31,Smartwatch,848.78,11,19.44,Overnight,3.0
TRX-10110,2023-01-20,Monitor,1270.7,7,18.53,Standard Ground,2.0
TRX-10111,2023-02-10,Monitor,479.77,36,41.07,Express,3.0
TRX-10112,2023-07-25,Tablet,1820.95,45,22.01,,5.0
TRX-10113,2023-03-09,Laptop,1726.21,44,15.64,Standard Ground,4.0
TRX-10114,2023-11-20,Monitor,1440.59,49,49.24,Overnight,
TRX-10115,2023-04-05,Headphones,1838.16,3,28.05,Overnight,1.0
TRX-10116,2023-10-01,Monitor,454.5,45,16.41,Standard Ground,4.0
TRX-10117,2023-04-06,Laptop,1472.17,48,35.2,Standard Ground,4.0
TRX-10118,2023-10-12,Smartphone,1319.36,47,35.34,Overnight,4.0
TRX-10119,2023-11-18,Tablet,1197.72,48,30.56,Overnight,2.0
TRX-10120,2023-10-21,Headphones,120.55,20,18.66,International,4.0
TRX-10121,2023-08-23,Tablet,1642.65,5,37.42,Standard Ground,3.0
TRX-10122,2023-05-02,Tablet,1955.26,12,26.14,International,3.0
TRX-10123,2023-11-17,Smartwatch,849.44,44,11.26,Overnight,5.0
TRX-10124,2023-01-28,Laptop,678.6,18,6.62,Express,4.0
TRX-10125,2023-12-20,Headphones,552.29,3,7.53,Express,5.0
TRX-10126,2023-05-04,Headphones,1215.69,36,29.1,International,2.0
TRX-10127,2023-04-19,Laptop,1464.97,33,42.97,Express,
TRX-10128,2023-12-27,Monitor,562.3,7,26.77,Standard Ground,5.0
TRX-10129,2023-08-23,Headphones,77.87,36,15.86,Overnight,1.0
TRX-10130,2023-08-20,Headphones,579.18,40,35.15,Overnight,4.0
TRX-10131,2023-03-27,Smartphone,153.84,16,20.22,Standard Ground,2.0
TRX-10132,2023-01-19,Laptop,1737.64,2,30.48,Standard Ground,1.0
TRX-10133,2023-04-20,Monitor,746.17,20,12.58,Standard Ground,4.0
TRX-10134,2023-05-06,Laptop,922.46,20,49.65,International,5.0
TRX-10135,2023-04-28,Headphones,260.63,30,45.67,International,4.0
TRX-10136,2023-06-19,Headphones,1837.79,44,15.9,Standard Ground,2.0
TRX-10137,2023-01-30,Tablet,764.6,19,21.78,Overnight,4.0
TRX-10138,2023-09-27,Smartphone,247.22,41,45.45,Express,2.0
TRX-10139,2023-12-16,Smartwatch,372.36,7,42.18,Standard Ground,1.0
TRX-10140,2023-04-21,Monitor,825.11,5,9.84,International,5.0
TRX-10141,2023-01-03,Tablet,166.72,46,16.9,Express,4.0
TRX-10142,2023-10-31,Headphones,424.7,48,17.54,Express,4.0
TRX-10143,2023-09-28,Smartwatch,1212.58,28,41.96,Standard Ground,3.0
TRX-10144,2023-02-23,Laptop,73.15,24,38.43,International,3.0
TRX-10145,2023-10-05,Tablet,1123.27,45,43.87,Express,2.0
TRX-10146,2023-11-10,Headphones,1582.03,38,21.71,Overnight,2.0
TRX-10147,2023-10-13,Smartwatch,1004.26,28,18.73,International,4.0
TRX-10148,2023-05-30,Monitor,830.71,36,16.16,Express,3.0
TRX-10149,2023-01-04,Headphones,1218.39,34,14.61,International,2.0
TRX-10150,2023-10-22,Monitor,497.39,50,29.95,,3.0
TRX-10151,2023-05-14,Monitor,51.68,12,26.9,Overnight,
TRX-10152,2023-10-22,Smartwatch,640.0,5,27.68,Express,1.0
TRX-10153,2023-12-01,Monitor,307.32,46,22.99,Overnight,3.0
TRX-10154,2023-02-27,Monitor,264.27,29,16.3,Overnight,5.0
TRX-10155,2023-12-02,Headphones,269.1,5,17.22,Standard Ground,1.0
TRX-10156,2023-12-20,Tablet,1183.33,15,13.85,Overnight,4.0
TRX-10157,2023-11-02,Smartphone,1388.84,26,28.82,Express,2.0
TRX-10158,2023-02-25,Smartphone,790.48,2,11.9,Express,2.0
TRX-10159,2023-09-24,Headphones,1263.83,19,8.79,International,1.0
TRX-10160,2023-05-03,Headphones,1249.11,1,48.63,Standard Ground,2.0
TRX-10161,2023-11-19,Headphones,663.19,31,14.76,Standard Ground,2.0
TRX-10162,2023-03-27,Laptop,1457.5,24,46.98,,2.0
TRX-10163,2023-06-09,Headphones,784.73,16,26.41,Standard Ground,3.0
TRX-10164,2023-10-10,Monitor,1153.94,45,37.47,Express,4.0
TRX-10165,2023-11-20,Headphones,154.82,28,48.18,International,2.0
TRX-10166,2023-10-12,Monitor,1859.09,3,34.14,Overnight,1.0
TRX-10167,2023-07-01,Monitor,422.4,2,47.23,International,3.0
TRX-10168,2023-01-17,Monitor,694.28,3,35.81,Standard Ground,
TRX-10169,2023-06-14,Smartphone,511.65,8,7.5,Express,4.0
TRX-10170,2023-10-28,Headphones,1122.41,26,30.46,Standard Ground,
TRX-10171,2023-09-12,Smartwatch,612.68,35,30.16,International,2.0
TRX-10172,2023-07-06,Headphones,700.48,10,23.83,International,
TRX-10173,2023-10-25,Laptop,285.19,14,13.33,Overnight,
TRX-10174,2023-05-02,Smartphone,1138.89,3,9.64,Standard Ground,
TRX-10175,2023-06-03,Tablet,389.84,45,39.43,Standard Ground,2.0
TRX-10176,2023-01-08,Monitor,1848.06,48,13.63,Standard Ground,2.0
TRX-10177,2023-02-02,Monitor,1393.23,17,13.1,International,5.0
TRX-10178,2023-11-07,Monitor,198.7,48,14.88,Overnight,4.0
TRX-10179,2023-12-29,Smartwatch,231.33,14,23.67,Overnight,2.0
TRX-10180,2023-04-26,Headphones,1602.22,41,38.23,Express,1.0
TRX-10181,2023-05-02,Smartphone,979.42,42,12.88,Overnight,3.0
TRX-10182,2023-01-29,Tablet,1335.73,12,17.8,Standard Ground,3.0
TRX-10183,2023-05-13,Monitor,,18,44.64,International,5.0
TRX-10184,2023-08-11,Smartphone,787.0,50,45.7,International,1.0
TRX-10185,2023-06-05,Monitor,91.16,48,43.65,Express,5.0
TRX-10186,2023-12-24,Smartwatch,1010.92,11,32.08,Overnight,2.0
TRX-10187,2023-12-31,Smartphone,950.74,30,22.79,International,4.0
TRX-10188,2023-10-05,Monitor,1741.62,20,45.44,Express,2.0
TRX-10189,2023-08-10,Laptop,1647.39,22,40.81,Standard Ground,1.0
TRX-10190,2023-06-08,Smartphone,401.91,4,37.26,,2.0
TRX-10191,2023-06-18,Headphones,1290.25,26,42.75,Express,1.0
TRX-10192,2023-10-31,Smartwatch,1434.61,29,48.32,International,2.0
TRX-10193,2023-11-21,Smartphone,300.01,35,9.34,Standard Ground,3.0
TRX-10194,2023-01-11,Monitor,1928.0,14,45.34,Overnight,2.0
TRX-10195,2023-06-21,Smartwatch,743.9,9,31.12,International,5.0
TRX-10196,2023-10-04,Tablet,679.92,45,49.92,Standard Ground,5.0
TRX-10197,2023-12-20,Laptop,1582.31,30,25.06,Express,3.0
TRX-10198,2023-11-27,Smartphone,1276.49,6,19.66,International,1.0
TRX-10199,2023-04-08,Monitor,1323.52,30,20.32,International,
TRX-10200,2023-07-11,Smartwatch,1175.04,24,35.29,Overnight,1.0
TRX-10201,2023-03-11,Headphones,1364.61,46,32.48,Express,1.0
TRX-10202,2023-05-20,Smartphone,56.69,2,9.4,Overnight,1.0
TRX-10203,2023-04-24,Monitor,597.54,14,32.21,International,2.0
TRX-10204,2023-07-11,Laptop,604.58,31,38.87,Overnight,
TRX-10205,2023-07-07,Smartwatch,1823.26,43,38.64,Express,5.0
TRX-10206,2023-05-11,Laptop,825.16,49,28.81,Standard Ground,3.0
TRX-10207,2023-08-26,Monitor,1807.66,31,27.58,Express,5.0
TRX-10208,2023-05-06,Headphones,361.54,12,31.17,Express,
TRX-10209,2023-08-19,Monitor,1720.6,5,5.95,Overnight,5.0
TRX-10210,2023-01-20,Monitor,441.21,27,45.56,Standard Ground,3.0
TRX-10211,2023-01-10,Headphones,1474.52,3,43.25,Express,5.0
TRX-10212,2023-08-16,Tablet,338.59,49,45.62,Express,
TRX-10213,2023-12-18,Smartphone,183.59,20,28.78,Standard Ground,3.0
TRX-10214,2023-03-16,Headphones,788.58,29,7.07,Standard Ground,3.0
TRX-10215,2023-09-06,Smartphone,973.11,25,15.81,Overnight,3.0
TRX-10216,2023-04-16,Headphones,1913.6,11,31.11,Standard Ground,3.0
TRX-10217,2023-12-21,Monitor,1223.39,47,19.88,Express,1.0
TRX-10218,2023-12-17,Headphones,1031.9,6,42.9,Express,3.0
TRX-10219,2023-05-13,Smartwatch,124.08,21,32.13,International,
TRX-10220,2023-04-07,Smartphone,1474.29,10,29.85,Overnight,4.0
TRX-10221,2023-02-08,Tablet,98.91,28,46.39,Standard Ground,
TRX-10222,2023-09-30,Laptop,1623.0,24,29.4,Express,3.0
TRX-10223,2023-10-09,Smartphone,825.07,36,45.51,Express,5.0
TRX-10224,2023-12-23,Smartphone,916.05,34,16.03,Overnight,2.0
TRX-10225,2023-06-17,Tablet,693.64,49,10.71,International,2.0
TRX-10226,2023-12-02,Smartwatch,758.8,23,19.68,Overnight,5.0
TRX-10227,2023-04-26,Laptop,1187.77,50,41.38,Express,4.0
TRX-10228,2023-12-28,Tablet,1616.47,46,48.49,International,3.0
TRX-10229,2023-07-22,Smartwatch,1891.45,33,16.8,Overnight,5.0
TRX-10230,2023-09-21,Headphones,1527.01,34,29.06,,1.0
TRX-10231,2023-09-16,Smartwatch,1437.39,17,44.78,International,5.0
TRX-10232,2023-07-28,Laptop,1240.78,18,18.66,Overnight,5.0
TRX-10233,2024-01-01,Headphones,689.78,2,19.58,Standard Ground,2.0
TRX-10234,2023-07-13,Monitor,1283.06,21,37.72,Express,5.0
TRX-10235,2023-01-06,Tablet,1407.76,30,11.98,Standard Ground,5.0
TRX-10236,2023-06-29,Smartphone,960.27,45,36.16,Overnight,3.0
TRX-10237,2023-05-24,Monitor,803.9,2,45.48,International,5.0
TRX-10238,2023-10-21,Smartphone,440.79,48,32.68,Standard Ground,3.0
TRX-10239,2023-07-05,Smartwatch,375.34,20,45.85,Express,5.0
TRX-10240,2023-02-20,Smartphone,1229.66,12,25.47,Express,5.0
TRX-10241,2023-05-28,Smartwatch,1149.5,34,43.76,Standard Ground,4.0
TRX-10242,2023-10-09,Monitor,1693.25,3,46.41,International,5.0
TRX-10243,2023-08-27,Tablet,1500.0,21,30.21,Standard Ground,5.0
TRX-10244,2023-06-13,Headphones,1122.45,5,17.0,Express,3.0
TRX-10245,2023-11-25,Tablet,79.61,27,12.73,Express,
TRX-10246,2023-09-15,Laptop,1681.59,37,32.56,Standard Ground,3.0
TRX-10247,2023-08-25,Headphones,1071.05,48,32.96,International,
TRX-10248,2023-12-02,Monitor,1625.53,40,24.43,Standard Ground,4.0
TRX-10249,2023-10-01,Monitor,1311.77,11,6.71,Express,1.0
TRX-10250,2023-11-05,Monitor,59.94,35,29.23,International,4.0
TRX-10251,2023-09-08,Monitor,310.97,15,42.32,Express,
TRX-10252,2023-07-02,Smartphone,846.6,22,42.82,Standard Ground,2.0
TRX-10253,2023-10-25,Laptop,57.15,38,28.56,International,3.0
TRX-10254,2023-05-02,Smartwatch,365.9,18,40.03,Standard Ground,2.0
TRX-10255,2023-08-19,Headphones,1888.83,5,31.68,Overnight,1.0
TRX-10256,2023-03-11,Smartphone,1666.19,6,10.72,Express,4.0
TRX-10257,2023-09-16,Laptop,1306.33,40,46.99,Express,5.0
TRX-10258,2023-07-31,Smartphone,143.72,26,41.75,Standard Ground,5.0
TRX-10259,2023-02-08,Tablet,935.37,12,21.42,International,1.0
TRX-10260,2023-12-07,Monitor,822.01,15,18.24,Standard Ground,2.0
TRX-10261,2023-10-08,Monitor,582.83,27,49.53,International,5.0
TRX-10262,2023-04-20,Headphones,1117.93,19,35.85,Overnight,2.0
TRX-10263,2023-10-11,Monitor,1658.33,8,32.12,,5.0
TRX-10264,2023-01-26,Smartphone,1745.99,11,31.57,Express,
TRX-10265,2023-12-23,Smartwatch,175.04,31,19.94,Standard Ground,3.0
TRX-10266,2023-07-04,Smartwatch,1133.4,46,14.62,Express,3.0
TRX-10267,2023-08-29,Tablet,1569.11,31,37.03,International,3.0
TRX-10268,2023-01-20,Monitor,1949.73,16,6.61,Standard Ground,3.0
TRX-10269,2023-08-05,Headphones,861.05,26,32.91,Express,5.0
TRX-10270,2023-08-15,Monitor,978.34,4,12.53,Standard Ground,1.0
TRX-10271,2023-03-09,Laptop,996.84,38,30.95,Standard Ground,2.0
TRX-10272,2023-10-04,Headphones,94.3,16,36.72,Express,1.0
TRX-10273,2023-12-01,Smartwatch,1025.63,38,20.4,Express,1.0
TRX-10274,2023-04-15,Tablet,457.25,27,49.32,Overnight,4.0
TRX-10275,2023-05-14,Smartphone,442.55,47,10.83,Standard Ground,4.0
TRX-10276,2023-12-03,Headphones,649.63,9,38.19,Express,3.0
TRX-10277,2023-03-29,Smartphone,119.34,40,35.1,Express,5.0
TRX-10278,2023-03-05,Laptop,1164.16,12,19.68,Overnight,4.0
TRX-10279,2023-08-11,Smartphone,1222.75,26,7.31,Express,3.0
TRX-10280,2023-08-02,Smartphone,587.61,31,47.51,International,5.0
TRX-10281,2023-05-08,Monitor,750.02,33,44.27,Express,1.0
TRX-10282,2023-07-31,Monitor,252.08,11,38.71,Standard Ground,3.0
TRX-10283,2023-12-28,Tablet,1098.33,18,28.26,Standard Ground,3.0
TRX-10284,2023-03-20,Laptop,1941.33,43,41.55,Overnight,1.0
TRX-10285,2023-12-01,Monitor,1504.68,46,29.83,Overnight,5.0
TRX-10286,2023-08-19,Smartwatch,,5,23.35,Express,2.0
TRX-10287,2023-09-25,Tablet,1271.95,13,23.74,Overnight,4.0
TRX-10288,2023-06-20,Smartwatch,214.16,45,27.91,Standard Ground,1.0
TRX-10289,2023-07-22,Smartwatch,1856.44,47,31.35,Standard Ground,3.0
TRX-10290,2023-06-06,Smartwatch,238.06,25,31.66,Standard Ground,5.0
TRX-10291,2023-03-27,Laptop,556.41,43,47.07,International,3.0
TRX-10292,2023-09-27,Smartwatch,1908.91,35,45.02,Express,2.0
TRX-10293,2023-04-24,Smartwatch,522.98,24,13.44,Express,5.0
TRX-10294,2023-01-25,Headphones,363.91,4,26.97,Standard Ground,4.0
TRX-10295,2023-09-27,Tablet,1895.6,23,18.14,Standard Ground,5.0
TRX-10296,2023-09-21,Headphones,871.03,16,24.15,Standard Ground,3.0
TRX-10297,2023-09-14,Monitor,688.47,50,20.08,Standard Ground,5.0
TRX-10298,2023-01-03,Tablet,197.11,9,14.79,Express,2.0
TRX-10299,2023-08-13,Tablet,679.86,48,13.23,Overnight,2.0
TRX-10300,2023-08-07,Smartwatch,228.37,17,10.13,Standard Ground,1.0
TRX-10301,2023-04-20,Headphones,1085.48,10,49.11,,4.0
TRX-10302,2023-04-12,Headphones,1011.52,20,25.14,Overnight,1.0
TRX-10303,2023-12-11,Tablet,407.66,30,46.43,Standard Ground,3.0
TRX-10304,2023-03-30,Tablet,1351.5,23,34.72,Standard Ground,
TRX-10305,2023-06-14,Laptop,318.85,41,38.14,Overnight,5.0
TRX-10306,2023-06-18,Tablet,410.69,36,35.63,Standard Ground,
TRX-10307,2023-07-04,Smartphone,1224.31,10,15.81,International,3.0
TRX-10308,2023-12-23,Headphones,226.18,37,23.73,Overnight,1.0
TRX-10309,2023-09-02,Laptop,545.39,50,24.01,Overnight,5.0
TRX-10310,2023-02-18,Monitor,,48,11.16,Express,5.0
TRX-10311,2023-03-05,Smartphone,879.43,50,37.74,International,5.0
TRX-10312,2023-07-29,Smartwatch,461.76,50,6.62,Standard Ground,4.0
TRX-10313,2023-04-17,Laptop,942.15,2,10.34,Standard Ground,4.0
TRX-10314,2023-05-29,Headphones,233.12,32,32.42,Express,5.0
TRX-10315,2023-07-15,Smartwatch,1193.95,29,30.72,Standard Ground,5.0
TRX-10316,2023-09-15,Smartphone,1437.12,20,40.73,Express,3.0
TRX-10317,2023-06-28,Headphones,941.63,12,25.5,Express,4.0
TRX-10318,2023-07-07,Headphones,836.59,25,29.35,International,2.0
TRX-10319,2023-06-14,Monitor,1258.83,27,25.44,International,4.0
TRX-10320,2023-07-04,Monitor,548.37,1,20.76,International,5.0
TRX-10321,2023-11-29,Smartphone,427.76,31,43.82,International,5.0
TRX-10322,2023-10-13,Smartphone,,11,37.86,International,1.0
TRX-10323,2023-11-12,Monitor,589.32,13,22.19,,3.0
TRX-10324,2023-03-06,Tablet,511.64,10,40.64,International,5.0
TRX-10325,2023-01-19,Tablet,907.71,11,17.0,Overnight,5.0
TRX-10326,2023-11-08,Tablet,854.86,22,46.3,Standard Ground,4.0
TRX-10327,2023-12-25,Smartphone,1465.53,2,18.74,Overnight,4.0
TRX-10328,2023-06-04,Smartwatch,1454.23,44,42.06,International,3.0
TRX-10329,2023-07-30,Smartphone,1857.65,49,22.03,Overnight,3.0
TRX-10330,2023-04-24,Tablet,1834.31,12,9.9,Express,1.0
TRX-10331,2023-05-18,Headphones,627.06,18,47.6,International,1.0
TRX-10332,2023-09-16,Tablet,822.47,4,27.43,International,4.0
TRX-10333,2023-07-10,Tablet,,7,42.83,International,1.0
TRX-10334,2023-02-18,Laptop,600.31,15,14.74,Express,3.0
TRX-10335,2023-03-29,Smartwatch,608.56,13,12.58,Overnight,5.0
TRX-10336,2023-03-05,Smartwatch,871.6,3,20.27,Standard Ground,4.0
TRX-10337,2023-04-29,Headphones,223.45,1,6.86,Standard Ground,1.0
TRX-10338,2023-04-20,Monitor,1881.34,23,47.48,Express,2.0
TRX-10339,2023-12-14,Smartwatch,1855.77,25,21.71,Overnight,4.0
TRX-10340,2023-03-17,Tablet,398.1,10,23.55,Express,5.0
TRX-10341,2023-03-02,Smartwatch,1698.4,42,25.45,International,1.0
TRX-10342,2023-01-15,Tablet,684.67,42,21.8,Standard Ground,1.0
TRX-10343,2023-10-07,Headphones,1769.77,25,14.93,International,4.0
TRX-10344,2023-04-28,Smartwatch,1568.78,3,5.28,Express,
TRX-10345,2023-02-01,Tablet,1246.77,26,7.92,Overnight,1.0
TRX-10346,2023-06-07,Laptop,879.75,28,45.21,Overnight,
TRX-10347,2023-09-16,Headphones,363.89,13,43.42,Overnight,5.0
TRX-10348,2023-09-01,Smartwatch,1201.8,44,28.12,International,3.0
TRX-10349,2023-01-27,Headphones,1691.99,30,15.43,Overnight,2.0
TRX-10350,2023-07-12,Headphones,1810.84,24,14.21,International,1.0
TRX-10351,2023-01-23,Headphones,137.89,31,34.2,International,3.0
TRX-10352,2023-06-28,Headphones,1269.23,50,45.12,Standard Ground,1.0
TRX-10353,2023-09-07,Tablet,509.2,45,10.45,International,3.0
TRX-10354,2023-04-02,Headphones,704.33,41,39.51,Overnight,3.0
TRX-10355,2023-12-17,Smartwatch,1627.51,1,37.44,Overnight,2.0
TRX-10356,2023-08-11,Smartphone,1592.68,46,16.58,Express,4.0
TRX-10357,2023-09-26,Laptop,944.54,33,7.52,Standard Ground,
TRX-10358,2023-01-15,Monitor,170.99,24,37.44,Overnight,3.0
TRX-10359,2023-08-28,Laptop,1702.21,29,14.77,Overnight,4.0
TRX-10360,2023-12-11,Laptop,780.16,37,28.13,International,4.0
TRX-10361,2023-08-18,Headphones,1984.55,19,46.9,International,
TRX-10362,2023-06-21,Laptop,994.28,46,18.06,Standard Ground,
TRX-10363,2023-04-11,Headphones,480.19,11,46.87,Express,
TRX-10364,2023-10-20,Smartwatch,1086.89,29,25.77,Express,3.0
TRX-10365,2023-12-15,Smartwatch,1561.01,2,36.74,International,5.0
TRX-10366,2023-09-23,Headphones,201.08,3,9.25,Express,1.0
TRX-10367,2023-01-02,Laptop,1503.77,42,22.74,,1.0
